,var1,var2,corr
0,x.strwt,x.llcpwt,0.6103347369469686
1,x.llcpwt,x.strwt,0.6103347369469686
2,x.wt2rake,x.llcpwt,0.6631909067057807
3,x.llcpwt,x.wt2rake,0.6631909067057807
4,htm4,height3,0.7458342932325686
5,height3,htm4,0.7458342932325686
6,htin4,height3,0.749335606731526
7,height3,htin4,0.749335606731526
8,x.llcpwt,x.llcpwt2,0.7887457957095089
9,x.llcpwt2,x.llcpwt,0.7887457957095089
10,x.bmi5,wtkg3,0.7985031519852699
11,wtkg3,x.bmi5,0.7985031519852699
12,x.llcpwt2,x.strwt,0.8008715915693176
13,x.strwt,x.llcpwt2,0.8008715915693176
14,weight2,x.bmi5,0.8095752156404288
15,x.bmi5,weight2,0.8095752156404288
16,x.wt2rake,x.llcpwt2,0.8517469930789849
17,x.llcpwt2,x.wt2rake,0.8517469930789849
18,drocdy3.,x.drnkwek,0.8830321732386592
19,x.drnkwek,drocdy3.,0.8830321732386592
20,x.strwt,x.wt2rake,0.9637491540042726
21,x.wt2rake,x.strwt,0.9637491540042726
22,weight2,wtkg3,0.9760362847239719
23,wtkg3,weight2,0.9760362847239719
24,htin4,htm4,0.9957668673345829
25,htm4,htin4,0.9957668673345829
